Fastq,Number of reads,Total length,shortest,Longest,N50,N75,AuN,Raw number of reads,% reads filtered
prinseq/698917_20180128_S_good_out_R2.fastq,"547,047","162,014,853",211,300,300,300,296,"551,415",99.21
prinseq/698917_20180329_S_good_out_R1.fastq,"1,037,980","310,284,211",234,300,300,300,298,"1,052,560",98.61
prinseq/698917_20180329_S_good_out_R2.fastq,"1,037,980","307,526,672",216,300,300,300,296,"1,052,560",98.61
prinseq/701099_20180504_S_good_out_R1.fastq,"629,323","188,317,201",242,300,300,300,299,"633,722",99.31
prinseq/701099_20180504_S_good_out_R2.fastq,"629,323","186,872,610",206,300,300,300,297,"633,722",99.31
prinseq/701099_20180517_S_good_out_R1.fastq,"842,893","252,403,330",189,300,300,300,299,"847,972",99.40
prinseq/701099_20180517_S_good_out_R2.fastq,"842,893","251,541,408",157,300,300,300,298,"847,972",99.40
prinseq/715927_20180205_S_good_out_R1.fastq,"990,881","296,560,238",238,300,300,300,299,"996,724",99.41
prinseq/715927_20180205_S_good_out_R2.fastq,"990,881","294,743,283",212,300,300,300,297,"996,724",99.41
prinseq/715927_20180213_S_good_out_R1.fastq,"1,042,126","312,168,966",245,300,300,300,299,"1,049,528",99.29
prinseq/715927_20180213_S_good_out_R2.fastq,"1,042,126","310,197,881",218,300,300,300,297,"1,049,528",99.29
prinseq/717449_20180606_S_good_out_R1.fastq,"518,513","155,145,002",243,300,300,300,299,"525,820",98.61
prinseq/717449_20180606_S_good_out_R2.fastq,"518,513","154,344,212",220,300,300,300,297,"525,820",98.61
prinseq/720054_20170925_S_good_out_R1.fastq,"1,852,906","554,489,048",113,300,300,300,299,"1,873,838",98.88
prinseq/720054_20170925_S_good_out_R2.fastq,"1,852,906","551,675,264",186,300,300,300,297,"1,873,838",98.88
prinseq/720054_20171120_S_good_out_R1.fastq,"450,770","134,874,222",208,300,300,300,299,"452,239",99.68
prinseq/720054_20171120_S_good_out_R2.fastq,"450,770","134,107,455",214,300,300,300,297,"452,239",99.68
prinseq/748160_20180321_S_good_out_R1.fastq,"1,695,018","507,008,981",151,300,300,300,299,"1,722,251",98.42
prinseq/748160_20180321_S_good_out_R2.fastq,"1,695,018","504,593,921",212,300,300,300,297,"1,722,251",98.42
prinseq/748160_20180329_S_good_out_R1.fastq,"1,397,020","417,868,559",107,300,300,300,299,"1,423,630",98.13
prinseq/748160_20180329_S_good_out_R2.fastq,"1,397,020","415,717,436",213,300,300,300,297,"1,423,630",98.13
prinseq/748699_20180329_S_good_out_R1.fastq,"2,683,021","802,755,631",138,300,300,300,299,"2,717,591",98.73
prinseq/748699_20180329_S_good_out_R2.fastq,"2,683,021","797,276,138",213,300,300,300,297,"2,717,591",98.73
prinseq/748699_20180410_S_good_out_R1.fastq,"1,764,400","527,833,409",78,300,300,300,299,"1,786,600",98.76
prinseq/748699_20180410_S_good_out_R2.fastq,"1,764,400","525,750,413",218,300,300,300,298,"1,786,600",98.76
prinseq/748699_20190101_S_good_out_R1.fastq,"913,412","273,395,748",171,300,300,300,299,"924,155",98.84
prinseq/748699_20190101_S_good_out_R2.fastq,"913,412","271,587,103",214,300,300,300,297,"924,155",98.84
prinseq/748699_20190109_S_good_out_R1.fastq,"846,058","253,317,796",153,300,300,300,299,"855,175",98.93
prinseq/748699_20190109_S_good_out_R2.fastq,"846,058","251,414,647",212,300,300,300,297,"855,175",98.93
prinseq/748699_20190114_S_good_out_R1.fastq,"526,747","157,686,187",227,300,300,300,299,"530,208",99.35
prinseq/748699_20190114_S_good_out_R2.fastq,"526,747","156,298,458",215,300,300,300,296,"530,208",99.35
prinseq/752797_20170918_S_good_out_R1.fastq,"1,309,875","391,729,606",228,300,300,300,299,"1,328,255",98.62
prinseq/752797_20170918_S_good_out_R2.fastq,"1,309,875","387,444,066",210,300,300,300,296,"1,328,255",98.62
prinseq/752797_20170927_S_good_out_R1.fastq,"432,991","129,547,356",244,300,300,300,299,"438,600",98.72
prinseq/752797_20170927_S_good_out_R2.fastq,"432,991","128,630,158",216,300,300,300,297,"438,600",98.72
prinseq/752797_20180306_S_good_out_R1.fastq,"609,834","182,515,823",248,300,300,300,299,"614,265",99.28
prinseq/752797_20180306_S_good_out_R2.fastq,"609,834","181,745,777",216,300,300,300,298,"614,265",99.28
prinseq/753522_20180606_S_good_out_R1.fastq,"1,788,122","535,095,366",97,300,300,300,299,"1,815,144",98.51
prinseq/753522_20180606_S_good_out_R2.fastq,"1,788,122","532,853,549",168,300,300,300,298,"1,815,144",98.51
prinseq/756934_20181205_S_good_out_R1.fastq,"1,074,124","321,568,704",229,300,300,300,299,"1,085,791",98.93
prinseq/756934_20181205_S_good_out_R2.fastq,"1,074,124","318,557,420",203,300,300,300,296,"1,085,791",98.93
prinseq/756934_20181218_S_good_out_R1.fastq,"1,339,986","401,019,303",156,300,300,300,299,"1,353,787",98.98
